Language,Weighted_Average,S_su,S_aa,S_fa,S_va,S_bu,S_pr,S_ac,S_h2,S_ch4,S_IC,S_IN,S_I,X_xc,X_ch,X_pr,X_li,X_su,X_aa,X_fa,X_c4,X_pro,X_ac,X_h2,X_I,S_va_ion,S_bu_ion,S_pro_ion,S_ac_ion,S_hco3_ion,S_nh3,S_cat,S_an,S_gas_h2,S_gas_ch4,S_gas_co2,time,,,
Julia,1.110282339,0.01195392,0.005313466,0.098797376,0.011581613,0.013232845,0.01562235,0.323652026,2.37E-07,0.057288726,0.174524089,0.144037801,0.322803952,0.311597446,0.03354693,0.118648278,0.035843413,0.505000115,1.364216053,0.295981906,0.502234605,0.162334897,0.888591796,0.372995322,18.49134322,0.011557139,0.013207337,0.015587785,0.323108522,0.164768387,0.00527069,0.050867362,0.019539548,1.00E-05,1.660466093,0.013931516,0.180594668,,,
Julia,0.909587959,0.011961456,0.005301196,0.10023228,0.011045014,0.013389997,0.016072476,0.079435607,2.33E-07,0.054671858,0.109399924,0.076534578,0.329508953,0.305881874,0.031884655,0.058320942,0.041402072,0.485182247,0.672414171,0.33855166,0.26609624,0.10141812,0.620048127,0.285093885,31.45069474,0.011008232,0.013349317,0.016016437,0.079225332,0.100052715,0.001799035,0.044885909,0.018051076,1.05E-05,1.649814265,0.013374213,0.122753893,,,
Julia,1.012491742,0.011955654,0.005309237,0.099157224,0.011407928,0.01334837,0.01605045,0.158959573,2.35E-07,0.053888172,0.14988692,0.119837831,0.396575181,0.373791833,0.03779614,0.095544078,0.024744643,0.557523508,1.099519126,0.202364021,0.415304312,0.142801241,0.74705197,0.319766262,16.10365066,0.011377815,0.013316228,0.01600609,0.158626089,0.139559529,0.003534489,0.053800862,0.027784771,1.02E-05,1.588108306,0.01475991,0.096465802,,,
Julia,0.855594282,0.011962865,0.005285504,0.099960723,0.011053006,0.013469683,0.015331468,0.060775414,2.33E-07,0.052003321,0.088209837,0.070670538,0.240746221,0.222161073,0.034169726,0.058930147,0.0345563,0.512536717,0.681477434,0.282461361,0.269445696,0.109115821,0.601652248,0.275412301,30.83890674,0.011001069,0.013411936,0.015256049,0.060548354,0.077923998,0.001183855,0.030200927,0.020544361,1.04E-05,1.566181881,0.014715843,0.165673797,,,
Julia,1.137783342,0.011953892,0.005314496,0.098629859,0.011487555,0.013274936,0.015974692,0.289399869,2.35E-07,0.057337594,0.167772749,0.14463845,0.416973426,0.395883087,0.040109913,0.119536414,0.035484131,0.597975796,1.374177094,0.293306998,0.512976771,0.169416644,0.917338065,0.392795435,17.49696021,0.011461768,0.013247753,0.015937147,0.288883611,0.157843835,0.004992519,0.049264992,0.026272444,9.86E-06,1.65195121,0.014174671,0.205215133,,,
Julia,1.050634906,0.011953574,0.005323151,0.098789071,0.011817872,0.013245878,0.015554097,0.316840398,2.38E-07,0.055969298,0.168627597,0.15014352,0.340415137,0.315534597,0.023750735,0.11927757,0.030760104,0.361101245,1.368944524,0.253502469,0.490364568,0.148641502,0.826678293,0.334493662,24.51808295,0.011791566,0.013218982,0.015517846,0.316279915,0.158726773,0.005224791,0.030013096,0.010984673,1.02E-05,1.636550607,0.014144857,0.261532941,,,
Julia,1.04010366,0.011954361,0.005331452,0.09910016,0.011644416,0.013431235,0.015776768,0.175664133,2.37E-07,0.05479969,0.145854723,0.137354955,0.347986322,0.327279548,0.036496561,0.112474424,0.037024176,0.547675746,1.288988383,0.305129476,0.476003316,0.159631025,0.881979417,0.373484135,22.61580495,0.01161142,0.013396516,0.015729961,0.175268502,0.135118965,0.003780697,0.025285086,0.02072132,9.91E-06,1.578494268,0.015326372,0.330031045,,,
Julia,0.843265068,0.011962382,0.005272536,0.09991839,0.011170159,0.012997068,0.015903033,0.090371725,2.36E-07,0.056536454,0.114571598,0.072180033,0.203498499,0.178953978,0.019405085,0.055232792,0.03389762,0.300944607,0.640247209,0.277285628,0.243813482,0.080824895,0.512610477,0.225764979,34.30523879,0.011140198,0.012965267,0.015858373,0.090179075,0.106558818,0.002095998,0.054548661,0.016388123,1.10E-05,1.745681838,0.011477223,0.168941431,,,
Julia,1.13672048,0.011953241,0.005316461,0.098615953,0.011850285,0.013169368,0.015869286,0.541709578,2.35E-07,0.058080365,0.178335533,0.156307862,0.399293519,0.37430967,0.02026654,0.124389858,0.029253684,0.310487241,1.429377038,0.241056523,0.507627437,0.145512736,0.824335284,0.334648517,15.75308839,0.011827741,0.013146516,0.015837677,0.54089068,0.169312747,0.006329133,0.042736078,0.014669441,1.02E-05,1.709171596,0.012894458,0.400964933,,,
Julia,0.897793441,0.011961522,0.005273588,0.098637904,0.010992968,0.01348909,0.015673142,0.068483459,2.38E-07,0.05223346,0.100261604,0.076459089,0.361941114,0.339743877,0.040258473,0.065063871,0.033365355,0.598980241,0.754013183,0.275849906,0.30043621,0.121848673,0.651021895,0.292024854,20.85691792,0.010947215,0.01343787,0.015604851,0.068256861,0.089771548,0.001443699,0.033703752,0.017604831,1.05E-05,1.558492356,0.01500133,0.183981667,,,
Julia,1.168461904,0.011952335,0.005309643,0.09932162,0.0118413,0.013168179,0.015837128,0.544961746,2.35E-07,0.056919707,0.172185934,0.177021329,0.41897336,0.389420204,0.022884195,0.136184479,0.02727455,0.346145074,1.566787177,0.223107699,0.556422836,0.160253832,0.886229361,0.35723537,28.63753223,0.011815757,0.013142269,0.01580136,0.544027579,0.162371953,0.006350256,0.02106212,0.020580113,9.95E-06,1.652863691,0.014016034,0.264569399,,,
Julia,0.889298558,0.011957878,0.005292745,0.098472889,0.011625268,0.013218745,0.01577924,0.091984111,2.34E-07,0.053439284,0.105794594,0.098676813,0.377851652,0.36676392,0.020535599,0.07980678,0.029438924,0.314520488,0.921381441,0.242922296,0.335398837,0.105421832,0.620073719,0.261517198,27.16408494,0.011583134,0.013175038,0.015719366,0.091719098,0.096028168,0.002134741,0.025814205,0.02461625,1.05E-05,1.611927042,0.013973753,0.375948552,,,
Julia,0.918763782,0.011957214,0.005297514,0.100514186,0.01142617,0.013316033,0.01539606,0.111989208,2.37E-07,0.053332931,0.130120372,0.104091605,0.273951418,0.262619916,0.031031913,0.084171312,0.034997529,0.467973317,0.9708777,0.284973928,0.364468508,0.127983632,0.713012285,0.306129681,16.10870286,0.011390929,0.013278567,0.015346345,0.111714672,0.119760963,0.002637636,0.035206874,0.014879118,1.03E-05,1.579382474,0.014809143,0.196528022,,,
Julia,0.897678095,0.011958907,0.005287293,0.097409108,0.011289358,0.013577138,0.016145125,0.090260713,2.38E-07,0.052293375,0.117539366,0.091097555,0.252527747,0.234098126,0.037166075,0.070900975,0.024720017,0.54859403,0.819438173,0.205293491,0.315736184,0.118934977,0.623309721,0.273415709,33.5023402,0.011250749,0.013534777,0.016087316,0.090015337,0.107248829,0.002086245,0.037883165,0.017956445,1.06E-05,1.569670884,0.014720227,0.179559585,,,
Julia,1.703600146,0.011951796,0.005328126,0.099777608,0.011926768,0.013077719,0.015782691,2.365597556,2.37E-07,0.058539834,0.183543353,0.191603643,0.279924463,0.265409877,0.015812802,0.147421456,0.031178231,0.248282318,1.690224106,0.254816505,0.593975803,0.161152076,0.859211719,0.364300176,13.33640132,0.011904531,0.013055479,0.015751882,2.362092917,0.174433594,0.007910112,0.055399707,0.027471691,1.01E-05,1.710050436,0.01301408,0.138461104,,,
Julia,0.805281922,0.01196062,0.005296112,0.094544922,0.011291855,0.012984262,0.015874924,0.068204675,2.33E-07,0.050620309,0.089534875,0.081069529,0.337093143,0.313616503,0.019733709,0.063192024,0.0177474,0.294697954,0.729217276,0.149759394,0.274420923,0.087579395,0.477465401,0.202509985,36.68984176,0.011240843,0.012930744,0.015799844,0.067959698,0.079453569,0.001411854,0.022371272,0.021237309,1.08E-05,1.558998251,0.014438385,0.227538451,,,
Julia,0.866742118,0.011957112,0.005290279,0.096888445,0.011567662,0.013211973,0.015306187,0.111403763,2.37E-07,0.051589947,0.128390539,0.104974257,0.222886074,0.200163464,0.023585573,0.083322518,0.021237274,0.351681707,0.962356838,0.176499441,0.352745558,0.115566302,0.608909748,0.252003095,29.45875605,0.01153117,0.013173951,0.015255634,0.111124428,0.117953929,0.002601962,0.033434628,0.015842256,1.06E-05,1.552959712,0.014931197,0.164236011,,,
Julia,1.090852548,0.011952648,0.005314674,0.098168902,0.011927153,0.013189121,0.015820013,0.343312578,2.37E-07,0.055445615,0.164405305,0.169537879,0.380701119,0.356919074,0.018734259,0.133508993,0.035712789,0.292840228,1.534618624,0.296401014,0.540276308,0.152563796,0.899801251,0.359475456,13.37846335,0.011898121,0.013159835,0.015779694,0.34264844,0.153905199,0.005410123,0.021581955,0.026169705,9.95E-06,1.598754828,0.014990724,0.153785473,,,
Julia,1.145809017,0.011953266,0.005313099,0.09971099,0.011674723,0.013260887,0.016158308,0.479771147,2.36E-07,0.057328098,0.180612657,0.15596717,0.290578162,0.26903659,0.031707734,0.12140247,0.024620088,0.470492506,1.395909109,0.200412821,0.508380421,0.156651505,0.839766613,0.346144575,24.18305831,0.011651779,0.013237115,0.01612506,0.479021904,0.17118789,0.006120881,0.05315516,0.024045381,1.01E-05,1.678492868,0.013465603,0.121972288,,,
Julia,0.819150467,0.011961168,0.005298315,0.096150276,0.011373613,0.012916511,0.01541634,0.083253546,2.32E-07,0.053363708,0.110802084,0.077805782,0.279627451,0.252416963,0.015216704,0.060695821,0.023983763,0.234596188,0.700141195,0.201026008,0.260023988,0.081189046,0.480140184,0.202778278,18.89265057,0.011337743,0.012879349,0.015365436,0.083044849,0.101797395,0.001929044,0.053799685,0.026308824,1.08E-05,1.651881904,0.012899507,0.100437221,,,
Julia,1.035089277,0.01195512,0.005305784,0.100095634,0.011461007,0.013253873,0.015571171,0.230836359,2.39E-07,0.055630766,0.168873788,0.126227834,0.425809799,0.398509253,0.034894713,0.102182576,0.024699966,0.515851068,1.176646396,0.200539093,0.439623205,0.148609356,0.764442424,0.318882306,16.76868826,0.011436034,0.013227529,0.015535646,0.230436646,0.159156367,0.004484198,0.054760856,0.013470528,1.04E-05,1.642030913,0.013889194,0.161791726,,,
Julia,1.372028147,0.011952036,0.005320205,0.095932781,0.011929127,0.013121812,0.015727418,1.224037238,2.36E-07,0.05644591,0.196146768,0.18474784,0.342267783,0.315039856,0.018339787,0.148433736,0.023764955,0.278485208,1.704343632,0.199533215,0.598940234,0.165656823,0.882678276,0.356351587,28.51390184,0.011906225,0.013098832,0.015695803,1.222169829,0.18613597,0.007415085,0.044462688,0.016283063,9.97E-06,1.636676761,0.014296078,0.117673425,,,
Julia,1.260616171,0.011952664,0.005321266,0.098444614,0.011732881,0.013228045,0.015741491,0.617451922,2.39E-07,0.058140818,0.184356595,0.168956153,0.38077306,0.367041039,0.029731201,0.13365085,0.040524737,0.453740971,1.534389003,0.336295697,0.55503626,0.169990491,0.956606653,0.396603049,35.37965637,0.011709374,0.01320387,0.015708469,0.616468877,0.174558671,0.006508578,0.043448507,0.021425289,9.96E-06,1.668645998,0.01398499,0.223674445,,,
Julia,1.063167341,0.011954663,0.005318726,0.099320674,0.011435793,0.013293697,0.015607777,0.17009784,2.36E-07,0.054966758,0.14802211,0.13285541,0.384571711,0.357425291,0.039493608,0.109948809,0.040672984,0.592985142,1.263033804,0.334983547,0.475301538,0.163441064,0.899075174,0.387081847,30.09845551,0.011403735,0.013259701,0.015561968,0.169718858,0.137235483,0.003695507,0.029083279,0.0180787,9.83E-06,1.577987209,0.01539642,0.125918566,,,
Julia,1.33814143,0.011952058,0.005326187,0.100521002,0.011710263,0.013311649,0.016234023,0.830350313,2.38E-07,0.057288212,0.193774341,0.184500958,0.353101257,0.338290642,0.039338693,0.148868694,0.030736477,0.583526548,1.707466831,0.249661026,0.622079442,0.1921681,1.021378015,0.424557949,35.15143563,0.011686305,0.013286806,0.016199248,0.829000345,0.183269499,0.006965485,0.035897127,0.016925402,9.71E-06,1.62138169,0.014983528,0.681878998,,,
Julia,0.765504303,0.01196204,0.005305687,0.097881795,0.011151072,0.013196372,0.015025176,0.058758687,2.35E-07,0.047360659,0.088704419,0.074371141,0.275428949,0.245952696,0.026593806,0.059258627,0.016770348,0.391839147,0.68267753,0.137280769,0.264546628,0.098514585,0.488818403,0.209748135,14.70766913,0.01109252,0.013133149,0.014942585,0.058513349,0.077296636,0.00111625,0.021957655,0.016732598,1.07E-05,1.446806863,0.016331962,0.315583145,,,
Julia,1.113802292,0.011953047,0.005317436,0.100357688,0.01188551,0.013148296,0.015897881,0.420437798,2.38E-07,0.057682151,0.167688582,0.160395194,0.409488862,0.381665086,0.017535223,0.125443871,0.038237275,0.277988373,1.441207006,0.31207877,0.509404538,0.143029269,0.864678144,0.347457245,32.51148882,0.011860302,0.013122858,0.015862577,0.419729162,0.158282323,0.005848451,0.022447625,0.011872429,1.02E-05,1.683798456,0.013437189,0.221577318,,,
Julia,1.015861094,0.011954575,0.005311361,0.099224908,0.011581805,0.013101642,0.016185762,0.301439608,2.35E-07,0.056178452,0.171963728,0.133605041,0.257456186,0.241870655,0.024791573,0.102729632,0.023702753,0.371228569,1.181695298,0.193526869,0.43232736,0.129526993,0.715212383,0.296469547,27.96608072,0.011558411,0.013077502,0.01615153,0.300955749,0.162753361,0.005106425,0.053026522,0.013787113,1.03E-05,1.675855987,0.013171178,0.1811278,,,
Julia,1.001196589,0.011956283,0.005314032,0.099770677,0.011330196,0.013309145,0.015792432,0.146111629,2.35E-07,0.055488221,0.141046262,0.112878728,0.337015409,0.308645633,0.036307295,0.08895787,0.03346421,0.54210304,1.022877791,0.273777708,0.389893711,0.13712005,0.751221881,0.327065743,25.6951018,0.011300287,0.013277096,0.015748785,0.145805093,0.131327841,0.00332918,0.048810044,0.024475091,1.02E-05,1.640205818,0.0138916,0.176023419,,,
Julia,0.86188958,0.011958973,0.005299833,0.094566219,0.011418831,0.013262494,0.015298841,0.08310594,2.31E-07,0.050214245,0.113404702,0.090727528,0.342837712,0.319215819,0.026389503,0.073248541,0.018028437,0.389999544,0.844593581,0.152117958,0.316467405,0.109947855,0.562981997,0.239566674,17.11313247,0.011376458,0.013217595,0.015239404,0.082860788,0.102708652,0.001917828,0.043797793,0.028330418,1.04E-05,1.521510936,0.01530713,0.146740306,,,
Julia,1.284572156,0.011951862,0.005325753,0.09861211,0.01195225,0.013196335,0.015617308,0.805306254,2.35E-07,0.058223907,0.175427802,0.190016544,0.363414403,0.341650847,0.019819187,0.148459507,0.040251381,0.31197443,1.702886483,0.333294187,0.599063637,0.170133394,0.981329756,0.40134909,22.72160443,0.011926844,0.013170749,0.015582552,0.803945989,0.165567242,0.006914052,0.022106155,0.026800282,9.77E-06,1.666364799,0.014072433,0.400869846,,,
Julia,1.06327268,0.011953715,0.005309604,0.099622202,0.011479173,0.013262179,0.015941846,0.221414627,2.38E-07,0.054167208,0.156207091,0.147973806,0.43728075,0.411272498,0.039000063,0.115268185,0.024249818,0.5744504,1.326291242,0.197556649,0.49499326,0.163537349,0.843972109,0.350586059,30.43256764,0.011448876,0.013230249,0.015897793,0.22095019,0.145445814,0.004364998,0.024477879,0.018908318,1.01E-05,1.569187362,0.015367128,0.098682108,,,
Julia,0.9128493,0.011958465,0.005322597,0.098565646,0.011345243,0.0131953,0.015022757,0.09135076,2.37E-07,0.051054821,0.119089227,0.094189266,0.385540217,0.367705554,0.027013298,0.074387953,0.024187161,0.402999465,0.854069271,0.198795988,0.323800591,0.11436508,0.596019486,0.252496876,38.13782553,0.01130579,0.013153438,0.014968063,0.091098248,0.108502928,0.002122108,0.042624104,0.024494333,1.06E-05,1.53821355,0.015145988,0.290161312,,,
Julia,1.070776109,0.011954421,0.005306775,0.100688198,0.01174144,0.013271835,0.015441181,0.287266628,2.35E-07,0.056970329,0.16773099,0.13594646,0.318856042,0.291628723,0.024428303,0.105794702,0.0377154,0.375947059,1.217954704,0.306810994,0.43928963,0.138311418,0.794178747,0.334761521,36.06854652,0.011716679,0.013246303,0.015407086,0.286785197,0.158372884,0.004984301,0.050443524,0.018274414,1.02E-05,1.677671416,0.013374115,0.437331918,,,
Julia,1.21872653,0.011952488,0.00531884,0.100681543,0.011722121,0.013287373,0.015905084,0.474250032,2.36E-07,0.058151412,0.174456918,0.173388897,0.438339039,0.420162894,0.035065841,0.141814646,0.041344922,0.530465237,1.628815727,0.336734767,0.591065333,0.183627422,1.030726585,0.431665007,25.89523329,0.011696138,0.013260508,0.015868172,0.473414668,0.164254972,0.006058645,0.021425013,0.016821753,9.64E-06,1.647644759,0.014552311,0.273495851,,,
Julia,0.901002569,0.011957798,0.005290355,0.100295489,0.011311333,0.013337244,0.015586634,0.104135629,2.37E-07,0.052582795,0.128122403,0.099209334,0.240460271,0.216115138,0.033911501,0.07988933,0.031959739,0.507393459,0.922705364,0.260329753,0.351421786,0.126736705,0.686025107,0.298439372,13.96076431,0.0112752,0.013298376,0.015534505,0.103871216,0.11758642,0.002429039,0.038081319,0.015375756,1.04E-05,1.560601412,0.015063161,0.332356053,,,
Julia,0.846677094,0.011961471,0.005316285,0.098596367,0.01126508,0.013551284,0.014862985,0.070904207,2.32E-07,0.050380409,0.107453015,0.076608445,0.205893845,0.194992984,0.030608827,0.058963112,0.028169354,0.457020871,0.677908099,0.231989615,0.262845393,0.106107354,0.556002251,0.251063154,25.62814073,0.011220938,0.013502839,0.014802011,0.070683335,0.09680536,0.001534962,0.045576149,0.022469016,1.05E-05,1.526204426,0.015237711,0.169008548,,,
Julia,0.803982439,0.011963044,0.005292055,0.097275738,0.011161056,0.013556052,0.014982643,0.076335423,2.34E-07,0.051947095,0.115602413,0.06959128,0.222469151,0.21023215,0.031129658,0.054070436,0.017781376,0.457090409,0.624505778,0.146577917,0.244524742,0.100726031,0.480007324,0.215758956,20.29995332,0.011124927,0.01351602,0.014931866,0.076139011,0.105979358,0.001681913,0.0505138,0.010982437,1.08E-05,1.600525912,0.013782347,0.338409313,,,
Julia,0.998270785,0.011953832,0.005313242,0.098036732,0.011806506,0.013257738,0.016114594,0.221340672,2.34E-07,0.053066903,0.158376402,0.145745774,0.318444333,0.296574945,0.024948229,0.117318891,0.017246863,0.368518548,1.348958077,0.141001369,0.482957874,0.142966006,0.765540356,0.306202396,19.38063094,0.011776059,0.01322655,0.016071084,0.220887029,0.147699298,0.004397256,0.036835237,0.026749776,1.01E-05,1.559506096,0.015257632,0.137624792,,,
Julia,1.330210507,0.011952515,0.005321806,0.099250593,0.011857896,0.013042394,0.016130042,1.053759342,2.35E-07,0.057057951,0.194654356,0.172138528,0.376818922,0.347146418,0.015964275,0.132404684,0.027628502,0.247802193,1.519905852,0.226208171,0.537150284,0.144416879,0.820935342,0.333520267,37.80301689,0.011836395,0.013020823,0.016099419,1.052241086,0.185246096,0.007299053,0.056340956,0.019210234,1.01E-05,1.676068009,0.013444166,0.316268687,,,
Julia,1.010818333,0.011954589,0.005310596,0.098175606,0.011733459,0.013255553,0.016189752,0.228225499,2.37E-07,0.0549225,0.161703109,0.133541331,0.338983515,0.327400735,0.024672276,0.105236811,0.026088369,0.370801466,1.210696628,0.215424693,0.437238957,0.13182651,0.745222048,0.302745548,35.56194097,0.0117063,0.013227565,0.016150517,0.227805688,0.151852946,0.004474654,0.040121157,0.013491653,1.04E-05,1.626177193,0.014081041,0.092396821,,,
Julia,1.146443921,0.011952949,0.005310556,0.099498462,0.011765237,0.013351134,0.016214666,0.346231021,2.38E-07,0.05742204,0.167270366,0.16282953,0.357949709,0.342793421,0.033562346,0.133275147,0.04089275,0.508442216,1.533153412,0.336434848,0.553994759,0.17080541,0.986141563,0.407433462,13.92646126,0.011737874,0.013322809,0.016175182,0.345591081,0.157034987,0.005430745,0.029785228,0.02446443,9.84E-06,1.636979547,0.014604491,0.115133703,,,
Julia,1.461425456,0.011952508,0.005311609,0.098868854,0.011828354,0.013183231,0.01567784,1.435095812,2.38E-07,0.05871311,0.197077056,0.172434756,0.437451935,0.41153668,0.024169397,0.138050506,0.033726601,0.369366916,1.587699518,0.278107414,0.565435168,0.165898001,0.893757675,0.375274634,15.24858043,0.011807623,0.013162155,0.01564907,1.433097173,0.187855321,0.007553491,0.056778968,0.01113318,1.01E-05,1.706143062,0.013170661,0.127676598,,,
Julia,0.87441859,0.011956296,0.005327795,0.097352787,0.011474449,0.013165217,0.015288969,0.109090269,2.32E-07,0.05220581,0.115417215,0.113058244,0.256325326,0.231341754,0.025568641,0.083619897,0.01904426,0.37861341,0.959015106,0.157037147,0.357433992,0.118645181,0.61131658,0.257249297,34.50540624,0.011434834,0.013123752,0.015233707,0.108790893,0.105224903,0.002565345,0.020086567,0.023381305,1.04E-05,1.5736931,0.014582658,0.108578525,,,
Julia,1.037880739,0.011954571,0.005312915,0.100540636,0.011617865,0.013218452,0.01536263,0.167953522,2.37E-07,0.054756148,0.140983232,0.134154758,0.381028162,0.362340974,0.027313331,0.105498414,0.04131799,0.419399055,1.213206002,0.337017195,0.444084697,0.143287302,0.829368844,0.348732626,33.75936238,0.011584737,0.013184068,0.015316765,0.167572883,0.130545584,0.003670154,0.029176718,0.026222071,1.01E-05,1.593337724,0.014908255,0.147715264,,,
Julia,1.22240614,0.011953061,0.005330647,0.100026144,0.011813022,0.013296878,0.015687793,0.578852925,2.37E-07,0.058405791,0.185965588,0.160113188,0.33200529,0.307674471,0.027777823,0.129354547,0.0405793,0.425865884,1.482503622,0.332326617,0.533180192,0.16355183,0.928240443,0.387585364,24.6035364,0.011790244,0.01327349,0.01565612,0.577965953,0.17643494,0.006399418,0.053619127,0.021587057,9.97E-06,1.685980575,0.013607401,0.540042537,,,
Julia,1.207413527,0.011952185,0.005318571,0.097980868,0.011753549,0.013275498,0.016150498,0.471092444,2.38E-07,0.056833452,0.170261743,0.181244396,0.437819233,0.42460563,0.034055299,0.144212263,0.027879394,0.506378472,1.656413861,0.230869514,0.598476668,0.181073835,0.976836685,0.395958889,28.6548694,0.011726277,0.013247399,0.016111262,0.470223761,0.159866281,0.00605867,0.021699114,0.029387674,9.83E-06,1.621424873,0.014833469,0.930329477,,,
Julia,1.000526629,0.011954283,0.005304581,0.097828298,0.011668726,0.013318438,0.015478104,0.192832962,2.36E-07,0.053177097,0.15483662,0.138437977,0.29148686,0.269829751,0.032006148,0.112844053,0.021430256,0.47226133,1.299665509,0.176639979,0.473954332,0.154764552,0.790491336,0.324484589,16.27624941,0.01163743,0.013285853,0.01543464,0.192421918,0.144008517,0.004020293,0.039612119,0.026737376,1.01E-05,1.553141415,0.01546876,0.125448291,,,
